id;created_at;notification_type;message;email_sent;email_sent_at;email_delivered;email_delivered_at;email_failed;email_failed_at;email_failure_reason;mailjet_message_id;read_at
1;2025-11-15T19:14:48;WATCHLIST_UPDATE;pschitt aussitôt lectorat;true;2025-11-16T13:16:33;true;2025-11-16T07:56:46;false;2025-11-15T20:30:36;en plus de parfois hystérique;de crainte que fondre;2025-11-16T13:26:29
2;2025-11-15T21:09:32;AVAILABILITY_CHANGE;ouf;true;2025-11-16T04:43:10;false;2025-11-16T09:53:46;false;2025-11-16T09:57:33;repérer jeune;en face de affronter spécialiste;2025-11-16T01:34:10
3;2025-11-16T00:31:53;WATCHLIST_UPDATE;à l'entour de;false;2025-11-16T04:37:09;false;2025-11-16T15:43:29;true;2025-11-16T12:43:00;exposer;boum oh;2025-11-16T06:35:56
4;2025-11-16T07:03:39;PRODUCT_ADDED;comme chef;true;2025-11-15T19:14:06;true;2025-11-16T01:53:59;false;2025-11-16T13:38:25;areu areu svelte;énoncer brûler;2025-11-16T07:38:47
5;2025-11-16T09:08:01;AVAILABILITY_CHANGE;secours immense de;true;2025-11-16T14:15:26;true;2025-11-15T21:54:32;false;2025-11-16T01:36:35;soit par rapport à horrible;proche de égoïste;2025-11-15T21:53:02
6;2025-11-15T21:04:17;PRODUCT_ADDED;tant que;false;2025-11-16T16:07:54;true;2025-11-15T17:36:34;true;2025-11-16T14:06:46;sus souple marron;broum partenaire perplexe;2025-11-16T15:19:59
7;2025-11-16T12:57:06;PRODUCT_ADDED;personnel;false;2025-11-16T10:26:02;true;2025-11-15T17:44:10;false;2025-11-15T21:27:34;toc-toc d’autant que;grrr;2025-11-15T19:40:49
8;2025-11-16T14:12:30;PRODUCT_ADDED;y combler;false;2025-11-16T02:38:44;true;2025-11-16T12:20:39;true;2025-11-16T14:09:56;là-haut avant;incalculable peu après que;2025-11-16T13:42:48
9;2025-11-16T11:12:08;WATCHLIST_UPDATE;hôte;true;2025-11-15T18:57:55;true;2025-11-15T23:11:37;false;2025-11-16T08:07:11;de la part de pencher;toc-toc vivace;2025-11-15T21:58:59
10;2025-11-16T08:50:34;AVAILABILITY_CHANGE;vite vite tellement;true;2025-11-15T19:43:41;true;2025-11-16T06:16:37;true;2025-11-16T16:24:18;équipe tellement;outre afficher;2025-11-16T13:24:06
